station,channel,Unnamed: 0,lat,lon,elevation,local_depth,sampling_rate,cat_tp,cat_ts,cat_distance,tp_sta_lta,tp,ts,y,x,pp_distance,ps_distance
ZEFT,EN,0,32.968786,35.493747,803.0,0.0,200.0,14.8842739755,,,2018-07-10T19:25:25.295000Z,2018-07-10T19:25:24.791800Z,2018-07-10T19:25:27.800810Z,46.5179078625,5.0,18.7465609842,17.7596142281
MNHM,EN,1,32.663572,35.552345,-132.0,0.0,200.0,21.9767184387,,,2018-07-10T19:25:25.215000Z,2018-07-10T19:25:25.103077Z,2018-07-10T19:25:28.596296Z,12.581124653,10.4853617374,21.8687098792,21.8431560787
RMOT,EN,2,32.851506,35.664467,12.0,0.0,200.0,7.43594449435,,,2018-07-10T19:25:23.225000Z,2018-07-10T19:25:23.200829Z,2018-07-10T19:25:25.379768Z,33.4897775925,20.9474597363,13.3401895493,15.6022979518
SPR,EN,3,32.864735,35.538822,-177.0,0.0,200.0,4.39263213482,,,2018-07-10T19:25:22.835000Z,2018-07-10T19:25:22.751207Z,2018-07-10T19:25:24.203833Z,34.9488428503,9.20996426338,11.0562599834,10.630445256
MGDL,EN,4,32.840339,35.507188,-83.0,5.0,200.0,7.60231961529,,,2018-07-10T19:25:23.140000Z,2018-07-10T19:25:23.097070Z,2018-07-10T19:25:24.757214Z,32.235312914,6.25572170853,11.740932042,10.4791277295
SHGL,EN,5,32.685752,35.604253,-166.0,4.0,200.0,19.3724193862,,,2018-07-10T19:25:25.460000Z,2018-07-10T19:25:25.241423Z,2018-07-10T19:25:28.838400Z,15.0512965275,15.3419047238,19.904643068,20.6394820566
GLHS,EN,7,32.713434,35.649608,356.0,2.0,200.0,17.2893860101,,,2018-07-10T19:25:24.730000Z,2018-07-10T19:25:24.688041Z,2018-07-10T19:25:27.904569Z,18.1347176585,19.5820128844,18.322597755,19.8115618209
HDNS,EN,8,32.927987,35.641179,0.0,0.0,200.0,9.24918985002,,,2018-07-10T19:25:23.940000Z,2018-07-10T19:25:23.961729Z,2018-07-10T19:25:26.521116Z,41.9908256917,18.7602087186,15.6389606668,17.2083396146
HULT,EN,9,33.050382,35.610995,117.0,0.0,200.0,21.386830254,,,2018-07-10T19:25:26.225000Z,2018-07-10T19:25:25.898563Z,2018-07-10T19:25:30.221853Z,55.5970299572,15.9279488333,25.9550517113,26.5930085632
AMID,EN,10,32.927027,35.539343,274.0,6.0,200.0,8.67692142,,,2018-07-10T19:25:23.745000Z,2018-07-10T19:25:23.719624Z,2018-07-10T19:25:25.967735Z,41.8754274563,9.25563953373,14.2685263892,13.951596179
RSPN,EN,11,32.970412,35.54634,376.0,0.0,200.0,12.887190628,,,2018-07-10T19:25:24.370000Z,2018-07-10T19:25:24.307592Z,2018-07-10T19:25:27.143670Z,46.6999282514,9.90629395051,17.8253298744,17.6901043461
CVYN,EN,12,32.595407,35.518607,323.0,2.0,200.0,29.9957968216,,,2018-07-10T19:25:26.510000Z,2018-07-10T19:25:26.382771Z,2018-07-10T19:25:30.982752Z,5.00027217763,7.32891868867,28.9907093251,28.6226209476
ENGV,EN,13,32.781511,35.638451,-172.0,0.0,200.0,9.96492925598,,,2018-07-10T19:25:23.560000Z,2018-07-10T19:25:23.477520Z,2018-07-10T19:25:26.209840Z,25.7030673168,18.5278616705,13.4541808849,15.2015139726
KNHM,EN,14,32.88375,35.579223,-174.0,0.0,200.0,2.78470413863,,,2018-07-10T19:25:22.720000Z,2018-07-10T19:25:22.716621Z,2018-07-10T19:25:24.238419Z,37.0655387014,12.9816726702,11.442392294,12.0706085759
TVR,EN,15,32.781325,35.539679,-127.0,0.0,200.0,9.66067397459,,,2018-07-10T19:25:23.205000Z,2018-07-10T19:25:23.131657Z,2018-07-10T19:25:25.137663Z,25.6740957037,9.29402927598,12.2402656769,11.8795889412
