event_time,lat,lon,magnitude
2018-08-17T07:53:09.417000Z,32.849,35.573, 2.685340142 M 
2018-08-10T14:40:48.814000Z,32.843,35.592, 2.808050231 M 
2018-08-09T13:00:06.407000Z,32.783,35.388, 3.048598785 M 
2018-08-08T23:21:09.796000Z,32.83,35.59, 2.529741661 M 
2018-08-05T00:44:34.311000Z,32.835,35.57, 2.515422061 M 
2018-08-04T08:21:28.128000Z,32.825,35.58, 3.274514048 M 
2018-08-04T03:07:10.537000Z,32.837,35.57, 2.77588331 M 
2018-08-01T03:17:49.471000Z,32.837,35.615, 2.633319002 M 
2018-07-31T16:25:27.866000Z,32.867,35.588, 2.745034621 M 
2018-07-31T01:30:49.702000Z,32.824,35.583, 3.26786428 M 
2018-07-31T00:42:56.521000Z,32.832,35.581, 2.673329554 M 
2018-07-30T02:59:49.290000Z,32.825,35.586, 3.015612106 M 
2018-07-29T12:09:13.626000Z,32.826,35.583, 3.197465768 M 
2018-07-29T11:59:51.230000Z,32.826,35.591, 3.001300688 M 
2018-07-29T00:26:59.690000Z,32.865,35.58, 2.862254805 M 
2018-07-29T00:07:54.796000Z,32.862,35.575, 3.482041205 M 
2018-07-28T23:52:33.207000Z,32.873,35.57, 2.751052958 M 
2018-07-28T23:49:38.740000Z,32.871,35.565, 2.69707236 M 
2018-07-28T14:52:57.610000Z,32.882,35.57, 2.538700961 M 
2018-07-27T16:05:33.552000Z,32.86,35.571, 2.5897285 M 
2018-07-27T12:58:33.455000Z,32.869,35.571, 2.53163824 M 
2018-07-27T11:56:37.960000Z,32.873,35.564, 2.751016607 M 
2018-07-27T10:12:04.842000Z,32.862,35.571, 3.824192192 M 
2018-07-27T10:05:02.718000Z,32.875,35.568, 2.969541954 M 
2018-07-27T08:51:18.320000Z,32.874,35.57, 4.329358601 M 
2018-07-25T13:42:39.811000Z,32.835,35.587, 2.602213835 M 
2018-07-22T06:41:26.125000Z,32.849,35.572, 4.063831846 M 
2018-07-18T15:24:09.149000Z,32.865,35.574, 2.860077441 M 
2018-07-16T20:33:17.583000Z,32.836,35.569, 2.589662167 M 
2018-07-15T17:58:31.537000Z,32.833,35.586, 2.950223802 M 
2018-07-15T14:03:33.175000Z,32.837,35.6, 3.519221998 M 
2018-07-15T09:39:08.865000Z,32.907,35.452, 3.37970024 M 
2018-07-13T21:47:51.276000Z,32.844,35.577, 2.537392108 M 
2018-07-13T06:06:45.300000Z,32.879,35.593, 2.620838931 M 
2018-07-13T00:11:43.347000Z,32.859,35.578, 3.124523191 M 
2018-07-12T11:43:06.706000Z,32.843,35.565, 2.577673563 M 
2018-07-12T11:02:53.303000Z,32.835,35.573, 2.626074301 M 
2018-07-12T08:11:49.431000Z,32.831,35.583, 2.515702545 M 
2018-07-12T07:53:38.621000Z,32.839,35.582, 2.728171159 M 
2018-07-12T07:00:35.280000Z,32.871,35.575, 3.304634746 M 
2018-07-12T00:42:58.625000Z,32.837,35.591, 2.924283968 M 
2018-07-11T20:01:04.650000Z,32.869,35.559, 2.662563655 M 
2018-07-11T07:51:38.530000Z,32.87,35.567, 2.600504182 M 
2018-07-11T00:21:09.150000Z,32.84,35.591, 2.820469181 M 
2018-07-10T23:04:15.561000Z,32.865,35.574, 2.746551325 M 
2018-07-10T19:25:20.385000Z,32.836,35.587, 2.661807031 M 
2018-07-09T19:31:16.753000Z,32.843,35.593, 3.062672347 M 
2018-07-09T15:16:05.473000Z,32.842,35.599, 3.682240823 M 
2018-07-09T14:14:29.662000Z,32.845,35.589, 2.563709818 M 
2018-07-09T06:01:12.783000Z,32.844,35.586, 2.766541538 M 
2018-07-09T05:45:24.557000Z,32.837,35.589, 2.539411263 M 
2018-07-09T05:26:40.210000Z,32.869,35.574, 2.544967346 M 
2018-07-09T02:45:23.953000Z,32.842,35.586, 3.009133005 M 
2018-07-09T00:59:30.269000Z,32.842,35.592, 3.194040437 M 
2018-07-08T21:42:45.264000Z,32.832,35.59, 3.886040694 M 
2018-07-08T20:04:54.450000Z,32.835,35.58, 3.558955721 M 
2018-07-08T19:00:48.286000Z,32.857,35.58, 3.460776817 M 
2018-07-08T18:36:51.126000Z,32.854,35.572, 2.912091227 M 
2018-07-08T14:51:40.772000Z,32.841,35.576, 3.011244883 M 
2018-07-08T14:50:12.666000Z,32.842,35.573, 2.745653554 M 
2018-07-08T14:22:01.457000Z,32.835,35.58, 2.96316248 M 
2018-07-08T13:53:54.873000Z,32.842,35.587, 2.762355216 M 
2018-07-08T13:30:47.849000Z,32.849,35.593, 4.493789353 M 
2018-07-08T12:52:17.385000Z,32.846,35.578, 3.099346613 M 
2018-07-08T12:39:10.223000Z,32.875,35.592, 3.057643704 M 
2018-07-08T11:04:01.553000Z,32.852,35.579, 3.424595683 M 
2018-07-07T17:33:27.880000Z,32.85,35.588, 2.751026967 M 
2018-07-07T11:46:31.589000Z,32.86,35.575, 3.078682038 M 
2018-07-07T04:28:37.510000Z,32.836,35.595, 2.620664621 M 
2018-07-07T02:07:44.383000Z,32.837,35.599, 3.993414954 M 
2018-07-06T22:54:46.638000Z,32.871,35.577, 3.163937004 M 
2018-07-06T22:20:38.858000Z,32.849,35.574, 2.642251816 M 
2018-07-06T20:20:38.294000Z,32.836,35.581, automatic
2018-07-06T17:13:24.174000Z,32.883,35.573, 2.690214246 M 
2018-07-06T15:33:54.550000Z,32.878,35.572, 2.746732789 M 
2018-07-06T05:38:54.227000Z,32.861,35.569, 2.760879312 M 
2018-07-06T01:06:10.216000Z,32.867,35.571, 3.088718268 M 
2018-07-06T00:55:10.453000Z,32.846,35.561, 3.310433712 M 
