station,channel,Unnamed: 0,lat,lon,elevation,local_depth,sampling_rate,cat_tp,cat_ts,cat_distance,tp_sta_lta,tp,ts,y,x,pp_distance,ps_distance
ZEFT,EN,0,32.968786,35.493747,803.0,0.0,200.0,13.3885923633,,,2018-07-04T19:51:28.020000Z,2018-07-04T19:51:27.790683Z,2018-07-04T19:51:30.647210Z,46.5179078625,5.0,17.085122029,17.6037968104
MNHM,EN,1,32.663572,35.552345,-132.0,0.0,200.0,22.901171346,,,2018-07-04T19:51:28.685000Z,2018-07-04T19:51:28.583139Z,2018-07-04T19:51:32.268981Z,12.581124653,10.4853617374,22.800836363,22.7127187562
RMOT,EN,2,32.851506,35.664467,12.0,0.0,200.0,8.70325701184,,,2018-07-04T19:51:26.515000Z,2018-07-04T19:51:26.500638Z,2018-07-04T19:51:28.619997Z,33.4897775925,20.9474597363,12.5061137384,13.9011473498
SPR,EN,3,32.864735,35.538822,-177.0,0.0,200.0,3.27666276976,,,2018-07-04T19:51:25.970000Z,2018-07-04T19:51:25.892475Z,2018-07-04T19:51:27.514245Z,34.9488428503,9.20996426338,9.79158073267,10.5904242748
MGDL,EN,4,32.840339,35.507188,-83.0,5.0,200.0,6.95983471585,,,2018-07-04T19:51:26.435000Z,2018-07-04T19:51:26.390063Z,2018-07-04T19:51:28.306701Z,32.235312914,6.25572170853,10.9499109577,11.2967884661
SHGL,EN,5,32.685752,35.604253,-166.0,4.0,200.0,20.5497432422,,,2018-07-04T19:51:28.965000Z,2018-07-04T19:51:28.970152Z,2018-07-04T19:51:33.595884Z,15.0512965275,15.3419047238,20.7426246416,20.930720385
GLHS,EN,7,32.713434,35.649608,356.0,2.0,200.0,18.675685831,,,2018-07-04T19:51:28.225000Z,2018-07-04T19:51:28.251413Z,2018-07-04T19:51:31.550242Z,18.1347176585,19.5820128844,19.0122402519,19.4800567721
HDNS,EN,8,32.927987,35.641179,0.0,0.0,200.0,9.12245039669,,,2018-07-04T19:51:27.040000Z,2018-07-04T19:51:26.998227Z,2018-07-04T19:51:29.578316Z,41.9908256917,18.7602087186,14.0422288716,15.4426215799
HULT,EN,9,33.050382,35.610995,117.0,0.0,200.0,20.495902506,,,2018-07-04T19:51:29.070000Z,2018-07-04T19:51:29.007011Z,2018-07-04T19:51:33.337875Z,55.5970299572,15.9279488333,24.1907889091,25.1915305563
AMID,EN,10,32.927027,35.539343,274.0,6.0,200.0,7.2253734518,,,2018-07-04T19:51:26.795000Z,2018-07-04T19:51:26.721789Z,2018-07-04T19:51:28.933294Z,41.8754274563,9.25563953373,12.5333284345,13.4005148466
RSPN,EN,11,32.970412,35.54634,376.0,0.0,200.0,11.5865230773,,,2018-07-04T19:51:27.470000Z,2018-07-04T19:51:27.532674Z,2018-07-04T19:51:30.315485Z,46.6999282514,9.90629395051,16.0250920649,16.8879299775
CVYN,EN,12,32.595407,35.518607,323.0,2.0,200.0,30.8264252493,,,2018-07-04T19:51:29.955000Z,2018-07-04T19:51:29.873184Z,2018-07-04T19:51:34.720066Z,5.00027217763,7.32891868867,30.1002008788,29.7893640405
ENGV,EN,13,32.781511,35.638451,-172.0,0.0,200.0,11.4389247254,,,2018-07-04T19:51:27.065000Z,2018-07-04T19:51:26.942939Z,2018-07-04T19:51:29.541458Z,25.7030673168,18.5278616705,13.5178192358,14.4026980198
KNHM,EN,14,32.88375,35.579223,-174.0,0.0,200.0,1.74909339694,,,2018-07-04T19:51:25.885000Z,2018-07-04T19:51:25.874045Z,2018-07-04T19:51:27.348382Z,37.0655387014,12.9816726702,9.90665120106,11.1248262416
TVR,EN,15,32.781325,35.539679,-127.0,0.0,200.0,10.2244245689,,,2018-07-04T19:51:26.625000Z,2018-07-04T19:51:26.574355Z,2018-07-04T19:51:28.749002Z,25.6740957037,9.29402927598,12.317407271,12.5965995213
