,station,channel,lat,lon,elevation,local_depth,sampling_rate,cat_tp,cat_ts,cat_distance,tp_sta_lta,tp,ts
0,ZEFT,EN,32.968786,35.493747,803.0,0.0,200.0,14.1430387172,,,2018-07-29T00:07:58.520000Z,2018-07-29T00:07:58.485994Z,2018-07-29T00:08:01.124919Z
1,MNHM,EN,32.663572,35.552345,-132.0,0.0,200.0,22.1275211347,,,2018-07-29T00:08:00.030000Z,2018-07-29T00:08:00.031872Z,2018-07-29T00:08:04.182231Z
2,RMOT,EN,32.851506,35.664467,12.0,0.0,200.0,8.39867651357,,,2018-07-29T00:07:57.660000Z,2018-07-29T00:07:57.645416Z,2018-07-29T00:07:59.962700Z
3,SPR,EN,32.864735,35.538822,-177.0,0.0,200.0,3.43042628626,,,2018-07-29T00:07:56.685000Z,2018-07-29T00:07:56.642413Z,2018-07-29T00:07:58.025865Z
4,MGDL,EN,32.840339,35.507188,-83.0,5.0,200.0,6.79410559303,,,2018-07-29T00:07:57.315000Z,2018-07-29T00:07:57.334139Z,2018-07-29T00:07:59.407084Z
5,SHGL,EN,32.685752,35.604253,-166.0,4.0,200.0,19.7419342783,,,2018-07-29T00:08:00.400000Z,,
6,GLHS,HH,32.713434,35.649608,356.0,5.0,200.0,17.8801494085,,,2018-07-29T00:07:59.620000Z,2018-07-29T00:07:59.547664Z,2018-07-29T00:08:03.040882Z
7,GLHS,EN,32.713434,35.649608,356.0,2.0,200.0,17.8801494085,,,2018-07-29T00:07:59.600000Z,2018-07-29T00:07:59.582250Z,2018-07-29T00:08:03.282987Z
8,HDNS,EN,32.927987,35.641179,0.0,0.0,200.0,9.6026996592,,,2018-07-29T00:07:57.725000Z,2018-07-29T00:07:57.887520Z,2018-07-29T00:07:58.752178Z
9,HULT,EN,33.050382,35.610995,117.0,0.0,200.0,21.2504407671,,,2018-07-29T00:07:59.745000Z,2018-07-29T00:07:59.755182Z,2018-07-29T00:08:03.767195Z
10,AMID,EN,32.927027,35.539343,274.0,6.0,200.0,8.01230160355,,,2018-07-29T00:07:57.330000Z,2018-07-29T00:07:57.507070Z,2018-07-29T00:07:59.167214Z
11,RSPN,EN,32.970412,35.54634,376.0,0.0,200.0,12.3961671502,,,2018-07-29T00:07:58.055000Z,2018-07-29T00:07:57.922107Z,2018-07-29T00:08:00.031872Z
12,CVYN,EN,32.595407,35.518607,323.0,2.0,200.0,30.0745217372,,,2018-07-29T00:08:01.340000Z,2018-07-29T00:08:01.311566Z,2018-07-29T00:08:06.810791Z
13,ENGV,EN,32.781511,35.638451,-172.0,0.0,200.0,10.6823266686,,,2018-07-29T00:07:58.335000Z,2018-07-29T00:07:58.406315Z,2018-07-29T00:08:01.242394Z
14,KNHM,EN,32.88375,35.579223,-174.0,0.0,200.0,2.48638571624,,,2018-07-29T00:07:56.405000Z,2018-07-29T00:07:56.469481Z,2018-07-29T00:07:57.403312Z
15,TVR,EN,32.781325,35.539679,-127.0,0.0,200.0,9.53134324422,,,2018-07-29T00:07:56.015000Z,2018-07-29T00:07:57.714589Z,2018-07-29T00:07:59.997286Z
16,ALMT,EN,32.707982,35.546817,64.0,0.0,200.0,17.2915789724,,,2018-07-29T00:07:59.185000Z,2018-07-29T00:07:59.201800Z,2018-07-29T00:08:02.418329Z
