,station,channel,lat,lon,elevation,local_depth,sampling_rate,cat_tp,cat_ts,cat_distance,tp_sta_lta,tp,ts
0,ZEFT,EN,32.968786,35.493747,803.0,0.0,200.0,15.8395604523,,,2018-07-04T01:50:10.630000Z,2018-07-04T01:50:10.795103Z,2018-07-04T01:50:13.610478Z
1,MNHM,EN,32.663572,35.552345,-132.0,0.0,200.0,20.6895797624,,,2018-07-04T01:50:11.465000Z,2018-07-04T01:50:11.452250Z,2018-07-04T01:50:15.256745Z
2,RMOT,EN,32.851506,35.664467,12.0,0.0,200.0,7.59142184275,,,2018-07-04T01:50:09.545000Z,2018-07-04T01:50:09.550002Z,2018-07-04T01:50:11.867286Z
3,SPR,EN,32.864735,35.538822,-177.0,0.0,200.0,4.56295031049,,,2018-07-04T01:50:08.635000Z,2018-07-04T01:50:08.754516Z,2018-07-04T01:50:10.172556Z
4,MGDL,EN,32.840339,35.507188,-83.0,5.0,200.0,7.1606355321,,,2018-07-04T01:50:09.095000Z,2018-07-04T01:50:09.134966Z,2018-07-04T01:50:11.037214Z
5,SHGL,EN,32.685752,35.604253,-166.0,4.0,200.0,18.125479648,,,2018-07-04T01:50:11.595000Z,2018-07-04T01:50:11.763527Z,2018-07-04T01:50:16.259749Z
6,GLHS,HH,32.713434,35.649608,356.0,5.0,200.0,16.1755492457,,,2018-07-04T01:50:11.145000Z,2018-07-04T01:50:11.313905Z,2018-07-04T01:50:14.945468Z
7,GLHS,EN,32.713434,35.649608,356.0,2.0,200.0,16.1755492457,,,2018-07-04T01:50:11.110000Z,2018-07-04T01:50:11.244732Z,2018-07-04T01:50:14.945468Z
8,HDNS,EN,32.927987,35.641179,0.0,0.0,200.0,10.4249272678,,,2018-07-04T01:50:09.860000Z,2018-07-04T01:50:09.965038Z,2018-07-04T01:50:12.731944Z
9,HULT,EN,33.050382,35.610995,117.0,0.0,200.0,22.6730947398,,,2018-07-04T01:50:11.895000Z,2018-07-04T01:50:11.936458Z,2018-07-04T01:50:16.536439Z
10,AMID,EN,32.927027,35.539343,274.0,6.0,200.0,9.71919201644,,,2018-07-04T01:50:09.525000Z,2018-07-04T01:50:09.584589Z,2018-07-04T01:50:11.625181Z
11,RSPN,EN,32.970412,35.54634,376.0,0.0,200.0,14.0635860695,,,2018-07-04T01:50:10.230000Z,2018-07-04T01:50:10.345488Z,2018-07-04T01:50:12.593599Z
12,CVYN,EN,32.595407,35.518607,323.0,2.0,200.0,28.7109274058,,,2018-07-04T01:50:12.720000Z,2018-07-04T01:50:12.731944Z,2018-07-04T01:50:17.643202Z
13,ENGV,EN,32.781511,35.638451,-172.0,0.0,200.0,8.99351280549,,,2018-07-04T01:50:09.890000Z,2018-07-04T01:50:09.965038Z,2018-07-04T01:50:12.559012Z
14,KNHM,EN,32.88375,35.579223,-174.0,0.0,200.0,4.01518549326,,,2018-07-04T01:50:08.600000Z,2018-07-04T01:50:08.616171Z,2018-07-04T01:50:10.068797Z
15,TVR,EN,32.781325,35.539679,-127.0,0.0,200.0,8.44266154637,,,2018-07-04T01:50:09.320000Z,2018-07-04T01:50:09.411657Z,2018-07-04T01:50:11.417663Z
