station,channel,Unnamed: 0,lat,lon,elevation,local_depth,sampling_rate,distance_catalog,tp_catalog,ts_catalog,tp_sta_lta,tp,ts,y,x,pp_distance,ps_distance
ZEFT,EN,0,32.968786,35.493747,803.0,0.0,200.0,13.9385901486,,,,2018-07-07T02:07:48.868294Z,2018-07-07T02:07:51.945972Z,46.5179078625,5.0,18.4176142821,17.2367646594
MNHM,EN,1,32.663572,35.552345,-132.0,0.0,200.0,21.9710846231,,,,2018-07-07T02:07:49.476458Z,2018-07-07T02:07:52.941149Z,12.581124653,10.4853617374,22.3297204095,22.7002073448
RMOT,EN,2,32.851506,35.664467,12.0,0.0,200.0,8.94997852935,,,,2018-07-07T02:07:47.393958Z,2018-07-07T02:07:50.010905Z,33.4897775925,20.9474597363,13.1850691601,14.6962422
SPR,EN,3,32.864735,35.538822,-177.0,0.0,200.0,2.8800341455,,,,2018-07-07T02:07:46.951656Z,2018-07-07T02:07:48.591856Z,34.9488428503,9.20996426338,10.9720038932,10.4282202008
MGDL,EN,4,32.840339,35.507188,-83.0,5.0,200.0,6.22362463326,,,,2018-07-07T02:07:47.393958Z,2018-07-07T02:07:49.513316Z,32.235312914,6.25572170853,11.8186255989,10.8456038474
SHGL,EN,5,32.685752,35.604253,-166.0,4.0,200.0,19.72080116,,,,2018-07-07T02:07:49.623892Z,2018-07-07T02:07:54.452344Z,15.0512965275,15.3419047238,20.3107172482,21.1741710322
GLHS,EN,7,32.713434,35.649608,356.0,2.0,200.0,18.0100723574,,,,2018-07-07T02:07:49.015728Z,2018-07-07T02:07:52.332985Z,18.1347176585,19.5820128844,18.6434439328,19.9792022163
HDNS,EN,8,32.927987,35.641179,0.0,0.0,200.0,10.0568779918,,,,2018-07-07T02:07:48.094267Z,2018-07-07T02:07:50.637498Z,41.9908256917,18.7602087186,15.2497486489,16.0106147448
HULT,EN,9,33.050382,35.610995,117.0,0.0,200.0,21.453529496,,,,2018-07-07T02:07:50.066193Z,2018-07-07T02:07:54.434672Z,55.5970299572,15.9279488333,25.4710278885,25.4198578233
AMID,EN,10,32.927027,35.539343,274.0,6.0,200.0,7.8921403286,,,,2018-07-07T02:07:47.799400Z,2018-07-07T02:07:49.900330Z,41.8754274563,9.25563953373,13.9538547999,13.276529538
RSPN,EN,11,32.970412,35.54634,376.0,0.0,200.0,12.3913709504,,,,2018-07-07T02:07:48.554998Z,2018-07-07T02:07:51.264091Z,46.6999282514,9.90629395051,17.4290499128,16.8328263507
CVYN,EN,12,32.595407,35.518607,323.0,2.0,200.0,29.8719571792,,,,2018-07-07T02:07:50.840219Z,2018-07-07T02:07:55.410663Z,5.00027217763,7.32891868867,29.4875237715,29.6615340567
ENGV,EN,13,32.781511,35.638451,-172.0,0.0,200.0,10.9190484703,,,,2018-07-07T02:07:47.762542Z,2018-07-07T02:07:49.918759Z,25.7030673168,18.5278616705,13.62171495,14.9928432018
KNHM,EN,14,32.88375,35.579223,-174.0,0.0,200.0,2.73167793776,,,,2018-07-07T02:07:46.841081Z,2018-07-07T02:07:48.260130Z,37.0655387014,12.9816726702,11.2129291591,11.3470026044
TVR,EN,15,32.781325,35.539679,-127.0,0.0,200.0,9.24374541084,,,,2018-07-07T02:07:47.486104Z,2018-07-07T02:07:49.494887Z,25.6740957037,9.29402927598,12.5430493072,12.4680502306
