station,channel,Unnamed: 0,lat,lon,elevation,local_depth,sampling_rate,cat_tp,cat_ts,cat_distance,tp_sta_lta,tp,ts,y,x,pp_distance,ps_distance
ZEFT,EN,0,32.968786,35.493747,803.0,0.0,200.0,14.1430387172,,,2018-07-29T00:07:58.520000Z,2018-07-29T00:07:58.485994Z,2018-07-29T00:08:01.124919Z,46.5179078625,5.0,15.4744381505,14.1832168655
MNHM,EN,1,32.663572,35.552345,-132.0,0.0,200.0,22.1275211347,,,2018-07-29T00:08:00.030000Z,2018-07-29T00:08:00.031872Z,2018-07-29T00:08:04.182231Z,12.581124653,10.4853617374,24.1390602065,23.9428612932
RMOT,EN,2,32.851506,35.664467,12.0,0.0,200.0,8.39867651357,,,2018-07-29T00:07:57.660000Z,2018-07-29T00:07:57.645416Z,2018-07-29T00:07:59.962700Z,33.4897775925,20.9474597363,13.3806331376,12.0703426704
SPR,EN,3,32.864735,35.538822,-177.0,0.0,200.0,3.43042628626,,,2018-07-29T00:07:56.685000Z,2018-07-29T00:07:56.642413Z,2018-07-29T00:07:58.025865Z,34.9488428503,9.20996426338,9.37744706401,7.48938819402
MGDL,EN,4,32.840339,35.507188,-83.0,5.0,200.0,6.79410559303,,,2018-07-29T00:07:57.315000Z,2018-07-29T00:07:57.334139Z,2018-07-29T00:07:59.407084Z,32.235312914,6.25572170853,10.6592640201,9.26373427685
GLHS,EN,7,32.713434,35.649608,356.0,2.0,200.0,17.8801494085,,,2018-07-29T00:07:59.600000Z,2018-07-29T00:07:59.582250Z,2018-07-29T00:08:03.282987Z,18.1347176585,19.5820128844,20.6805096938,20.2898578568
HDNS,EN,8,32.927987,35.641179,0.0,0.0,200.0,9.6026996592,,,2018-07-29T00:07:57.725000Z,2018-07-29T00:07:57.887520Z,2018-07-29T00:07:58.752178Z,41.9908256917,18.7602087186,13.7527858053,12.1587539655
HULT,EN,9,33.050382,35.610995,117.0,0.0,200.0,21.2504407671,,,2018-07-29T00:07:59.745000Z,2018-07-29T00:07:59.755182Z,2018-07-29T00:08:03.767195Z,55.5970299572,15.9279488333,23.0114838348,21.8133761283
AMID,EN,10,32.927027,35.539343,274.0,6.0,200.0,8.01230160355,,,2018-07-29T00:07:57.330000Z,2018-07-29T00:07:57.507070Z,2018-07-29T00:07:59.167214Z,41.8754274563,9.25563953373,11.3232874173,9.54601979169
RSPN,EN,11,32.970412,35.54634,376.0,0.0,200.0,12.3961671502,,,2018-07-29T00:07:58.055000Z,2018-07-29T00:07:57.922107Z,2018-07-29T00:08:00.031872Z,46.6999282514,9.90629395051,14.6539152383,13.1525307456
CVYN,EN,12,32.595407,35.518607,323.0,2.0,200.0,30.0745217372,,,2018-07-29T00:08:01.340000Z,2018-07-29T00:08:01.311566Z,2018-07-29T00:08:06.810791Z,5.00027217763,7.32891868867,31.3819048643,31.39871369
ENGV,EN,13,32.781511,35.638451,-172.0,0.0,200.0,10.6823266686,,,2018-07-29T00:07:58.335000Z,2018-07-29T00:07:58.406315Z,2018-07-29T00:08:01.242394Z,25.7030673168,18.5278616705,14.9540004367,14.0779508958
KNHM,EN,14,32.88375,35.579223,-174.0,0.0,200.0,2.48638571624,,,2018-07-29T00:07:56.405000Z,2018-07-29T00:07:56.469481Z,2018-07-29T00:07:57.403312Z,37.0655387014,12.9816726702,9.60096064796,7.5499881955
TVR,EN,15,32.781325,35.539679,-127.0,0.0,200.0,9.53134324422,,,2018-07-29T00:07:56.015000Z,2018-07-29T00:07:57.714589Z,2018-07-29T00:07:59.997286Z,25.6740957037,9.29402927598,13.1197369832,12.2409933445
ALMT,EN,16,32.707982,35.546817,64.0,0.0,200.0,17.2915789724,,,2018-07-29T00:07:59.185000Z,2018-07-29T00:07:59.201800Z,2018-07-29T00:08:02.418329Z,17.519026228,9.96541736194,19.5934682993,19.2463583943
