Unnamed: 0,lat,lon,elevation,local_depth,sampling_rate,cat_tp,cat_ts,cat_distance,tp_sta_lta,tp,ts,y,x,pp_distance,ps_distance,max_amplitude,pp_magnitude,ps_magnitude
0,32.968786,35.493747,803.0,0.0,200.0,13.675513840699999,,,2018-07-12T07:00:38.355000Z,2018-07-12T07:00:38.270528Z,2018-07-12T07:00:41.034909Z,46.5179078625,5.0,14.157074019100001,13.0228483544,6.14781084839244e-05,2.912517833639744,2.8921017716751445
1,32.663571999999995,35.552345,-132.0,0.0,200.0,24.228621789600002,,,,2018-07-12T07:00:39.929157Z,2018-07-12T07:00:44.352167Z,12.581124653,10.4853617374,23.704884503200002,24.452333177600003,1.2202881996542571e-05,2.382120337001332,2.3955744131405323
2,32.851506,35.664467,12.0,0.0,200.0,7.285859158189999,,,2018-07-12T07:00:37.405000Z,2018-07-12T07:00:37.349068Z,2018-07-12T07:00:39.560573Z,33.4897775925,20.9474597363,10.8625550616,10.5809194004,0.00010613215537915543,3.0903429796101496,3.0852735377085496
3,32.864734999999996,35.538821999999996,-177.0,0.0,200.0,5.33684922048,,,2018-07-12T07:00:36.475000Z,2018-07-12T07:00:36.446036Z,2018-07-12T07:00:37.809798Z,34.948842850300004,9.20996426338,6.83310006278,6.1090620576,0.00014993845003369934,3.1678788225451084,3.1548461384518682
4,32.840339,35.507188,-83.0,5.0,200.0,9.12036950416,,,2018-07-12T07:00:37.165000Z,2018-07-12T07:00:37.127917Z,2018-07-12T07:00:38.970838Z,32.235312914,6.25572170853,9.01641868431,8.808847041930001,5.3428856183541976e-05,2.759041417466239,2.755305127903399
5,32.685752,35.604253,-166.0,4.0,200.0,21.4784587629,,,2018-07-12T07:00:40.750000Z,2018-07-12T07:00:40.518892Z,2018-07-12T07:00:45.513207Z,15.0512965275,15.3419047238,21.5317765239,22.2381753969,2.3587996064344222e-05,2.6292330284099847,2.6419482081239845
7,32.713434,35.649608,356.0,2.0,200.0,19.110638432200002,,,2018-07-12T07:00:39.395000Z,2018-07-12T07:00:39.357851Z,2018-07-12T07:00:43.799291Z,18.134717658499998,19.5820128844,19.6681703484,20.3116384354,8.399239405658335e-06,2.147237030849901,2.158819456415901
8,32.927987,35.641179,0.0,0.0,200.0,7.06068311952,,,2018-07-12T07:00:37.510000Z,2018-07-12T07:00:37.533360Z,2018-07-12T07:00:38.362674Z,41.9908256917,18.760208718599998,11.1172624298,10.0161300761,3.6325332330232034e-05,2.6292903242985197,2.60946994193192
9,33.050382,35.610995,117.0,0.0,200.0,19.1598556262,,,2018-07-12T07:00:39.505000Z,2018-07-12T07:00:39.431568Z,2018-07-12T07:00:43.762433Z,55.5970299572,15.927948833299999,21.3616998543,20.1431013073,1.2016544182282135e-05,2.3332601893171576,2.3113254154711576
10,32.927027,35.539343,274.0,6.0,200.0,7.37798607212,,,2018-07-12T07:00:37.105000Z,2018-07-12T07:00:37.109488Z,2018-07-12T07:00:38.841834Z,41.8754274563,9.255639533730001,9.08538042875,7.7487456336300005,5.492331594227217e-05,2.772263601520604,2.7482041752084445
11,32.970411999999996,35.54634,376.0,0.0,200.0,11.1070932409,,,2018-07-12T07:00:37.780000Z,2018-07-12T07:00:37.791369Z,2018-07-12T07:00:40.058161Z,46.6999282514,9.906293950510001,12.7901291894,11.4689494808,2.9585576103799393e-05,2.5702723602203443,2.5464911254655442
12,32.595407,35.518607,323.0,2.0,200.0,32.2701638035,,,2018-07-12T07:00:41.350000Z,2018-07-12T07:00:41.219202Z,2018-07-12T07:00:46.489955Z,5.00027217763,7.32891868867,31.3124354216,32.1358749637,2.547539780567853e-06,1.8387148162897269,1.8535367280475268
13,32.781511,35.638451,-172.0,0.0,200.0,11.5946094607,,,2018-07-12T07:00:38.390000Z,2018-07-12T07:00:38.086236Z,2018-07-12T07:00:40.942764Z,25.7030673168,18.5278616705,13.189868528900002,13.539825381199998,1.2661620635281015e-05,2.2088769349999517,2.2151761583413516
14,32.88375,35.579223,-174.0,0.0,200.0,1.4461460727200002,,,2018-07-12T07:00:36.090000Z,2018-07-12T07:00:36.077453Z,2018-07-12T07:00:37.054200Z,37.0655387014,12.9816726702,6.45036437602,5.28753901144,0.0002560930472272395,3.3934743508979435,3.3725434943355035
15,32.781325,35.539679,-127.0,0.0,200.0,11.938232190599999,,,2018-07-12T07:00:37.655000Z,2018-07-12T07:00:37.533360Z,2018-07-12T07:00:39.837011Z,25.674095703699997,9.29402927598,11.8494082972,12.2438294456,4.4401468588890194e-05,2.729656688428693,2.7367562690998932
